site;uv
Bergen;1628
Stockholm;2090
Dublin;1547
Bedgebury;1696
Munich;1978
Salzburg;1876
Geneva ;2132
Ljubljana;1692
Podgorica;2275
Pontevedra;2238
Tirana;1718
