site;uv
Bergen;1220
Stockholm;1695
Dublin;1170
Bedgebury;1362
Munich;1787
Salzburg;1688
Geneva ;1789
Ljubljana;1431
Podgorica;2173
Pontevedra;1770
Tirana;1297
