site;uv
Bergen;1751
Stockholm;2695
Dublin;2086
Bedgebury;2169
Munich;2257
Salzburg;2143
Geneva ;2664
Ljubljana;1833
Podgorica;2659
Pontevedra;3060
Tirana;1937
