site;uv
Bergen;1050
Stockholm;1511
Dublin;1012
Bedgebury;1157
Munich;1663
Salzburg;1534
Geneva ;1534
Ljubljana;1264
Podgorica;2034
Pontevedra;1537
Tirana;1128
