site;uv
Bergen;966
Stockholm;1144
Dublin;1313
Bedgebury;1610
Munich;1574
Salzburg;1621
Geneva ;1866
Ljubljana;1830
Podgorica;2112
Pontevedra;2316
Tirana;2250
