;Bergen;Stockholm;Benmore;Edinburgh;Dublin;Bedgebury;Munich;Salzburg;Geneva;Ljubljana;Podgorica;Pontevedra;Tirana;Cordoba
2014-01-30;-2,569999943;-3,419999924;2,639999941;1,689999962;4,769999893;4,689999895;-2,819999937;-3,509999922;0,829999981;-1,839999959;3,769999916;6,899999846;4,279999904;7,089999842
2014-01-31;-0,839999981;-4,01999991;3,209999928;2,179999951;5,949999867;4,339999903;-1,289999971;-0,999999978;0,359999992;-0,399999991;7,509999832;10,48999977;9,049999798;9,519999787
2014-02-01;2,009999955;0,049999999;3,009999933;2,709999939;4,319999903;7,199999839;0,969999978;2,759999938;1,689999962;-1,389999969;8,359999813;7,14999984;9,40999979;10,52999976
2014-02-02;5,269999882;1,629999964;4,849999892;4,4699999;5,769999871;7,359999835;1,139999975;0,559999987;2,639999941;-0,809999982;7,439999834;6,669999851;7,869999824;6,589999853
2014-02-03;4,959999889;1,439999968;5,729999872;4,699999895;5,539999876;5,949999867;0,109999998;1,79999996;3,209999928;-1,699999962;4,429999901;7,219999839;5,949999867;6,099999864
2014-02-04;3,529999921;0,839999981;3,869999913;3,759999916;4,239999905;6,179999862;1,309999971;-0,509999989;3,379999924;-2,279999949;3,029999932;8,459999811;5,219999883;6,889999846
2014-02-05;4,90999989;1,089999976;4,359999903;3,839999914;5,429999879;7,299999837;1,77999996;3,789999915;2,539999943;-0,169999996;5,089999886;8,919999801;7,15999984;12,90999971
2014-02-06;4,829999892;0,709999984;4,949999889;4,709999895;5,559999876;7,789999826;5,929999867;5,659999873;3,58999992;0,369999992;5,599999875;10,46999977;5,649999874;12,77999971
2014-02-07;3,809999915;2,139999952;2,379999947;1,509999966;4,00999991;8,03999982;6,299999859;6,339999858;3,949999912;4,379999902;4,319999903;9,059999797;7,509999832;10,00999978
2014-02-08;3,889999913;3,049999932;3,679999918;2,709999939;4,91999989;7,789999826;5,82999987;5,109999886;2,889999935;4,259999905;6,059999865;8,919999801;8,03999982;10,97999975
2014-02-09;5,339999881;2,869999936;5,339999881;5,129999885;5,449999878;7,13999984;3,919999912;3,209999928;3,819999915;2,849999936;5,679999873;9,089999797;7,59999983;10,67999976
2014-02-10;4,579999898;2,849999936;3,799999915;3,279999927;2,199999951;6,119999863;3,379999924;2,829999937;2,759999938;1,889999958;4,979999889;6,589999853;7,509999832;8,369999813
2014-02-11;4,129999908;1,419999968;2,309999948;1,629999964;2,869999936;4,90999989;4,129999908;4,4799999;3,009999933;3,539999921;9,249999793;8,899999801;9,669999784;6,889999846
2014-02-12;2,379999947;1,469999967;2,469999945;2,199999951;4,219999906;5,559999876;1,569999965;1,32999997;4,359999903;1,839999959;7,909999823;8,669999806;9,499999788;9,939999778
2014-02-13;3,549999921;1,579999965;2,289999949;2,099999953;3,55999992;5,479999878;5,169999884;3,189999929;5,169999884;4,679999895;4,099999908;13,15999971;7,339999836;14,67999967
2014-02-14;4,389999902;1,889999958;2,949999934;2,67999994;4,809999892;6,569999853;4,539999899;3,759999916;3,829999914;4,139999907;4,169999907;10,98999975;6,669999851;14,57999967
2014-02-15;4,879999891;2,269999949;3,909999913;3,679999918;5,559999876;8,879999802;9,419999789;8,409999812;6,219999861;6,049999865;6,069999864;7,009999843;8,48999981;11,36999975
2014-02-16;4,079999909;3,809999915;4,199999906;3,649999918;4,329999903;6,359999858;4,729999894;4,519999899;3,619999919;9,639999785;7,029999843;5,899999868;8,349999813;9,449999789
2014-02-17;2,179999951;3,679999918;3,729999917;2,489999944;6,25999986;6,869999846;4,379999902;3,519999921;2,829999937;0,719999984;10,07999977;7,949999822;11,40999974;8,9399998
2014-02-18;0,219999995;0,939999979;6,289999859;6,029999865;6,749999849;8,649999807;3,939999912;4,259999905;3,239999928;1,989999956;11,13999975;7,949999822;12,51999972;9,319999792
2014-02-19;-1,069999976;-1,069999976;6,349999858;5,409999879;8,219999816;7,029999843;4,979999889;3,169999929;4,93999989;6,149999863;10,10999977;10,10999977;11,14999975;9,049999798
2014-02-20;-0,329999993;-0,309999993;7,429999834;7,319999836;7,079999842;9,84999978;5,789999871;5,509999877;5,329999881;4,4799999;9,589999786;9,989999777;9,719999783;8,609999808
