site;lat;long
Bergen;60.2557;5.2707
Stockholm;59.3701;18.0459
Benmore;56.0745;-4.9902
Edinburgh;55.965;-3.2102
Dublin;53.3731;-6.2731
Bedgebury;51.0749;0.451
Munich;48.1638;11.4977
Salzburg;47.7868;13.0596
Geneva;46.2253;6.1465
Ljubljana;46.0404;14.5143
Podgorica;42.657;18.6627
Pontevedra;42.4099;-8.6635
Tirana;41.3096;19.8061
Cordoba;37.8699;-4.7855
