sample;arboreta;arb;plot;Arboreta;nGrains;ratio;year_mean;w1;w2;w12
Mean;Benmore;Ben;2;3;200;1.773;-1.069673;-0.7839421;-1.101773;-1.554876
Mean;Edinburgh;Edi;2;4;200;1.5767;-1.207692;-1.7606441;-1.587045;-1.564018
