site;uv
Bergen;1704
Stockholm;2131
Benmore;1546
Edinburgh;1474
Dublin;1727
Bedgebury;1827
Munich;2141
Salzburg;1922
Geneva ;2332
Ljubljana;1853
Podgorica;2363
Pontevedra;2274
Tirana;1936
