site;uv
Bergen;1326
Stockholm;1774
Benmore;1132
Edinburgh;1115
Dublin;1266
Bedgebury;1474
Munich;1822
Salzburg;1746
Geneva ;1928
Ljubljana;1549
Podgorica;2134
Pontevedra;1875
Tirana;1380
