site;uv
Bergen;1481
Stockholm;2012
Benmore;1283
Edinburgh;1250
Dublin;1422
Bedgebury;1653
Munich;1925
Salzburg;1876
Geneva ;2125
Ljubljana;1745
Podgorica;2238
Pontevedra;2180
Tirana;1576
