site;uv
Bergen;1394
Stockholm;1888
Benmore;1215
Edinburgh;1161
Dublin;1351
Bedgebury;1565
Munich;1918
Salzburg;1770
Geneva ;2050
Ljubljana;1686
Podgorica;2265
Pontevedra;1997
Tirana;1493
