site;uv
Bergen;1363
Stockholm;1654
Benmore;1799
Edinburgh;1666
Dublin;1982
Bedgebury;2234
Munich;2256
Salzburg;2350
Geneva ;2584
Ljubljana;2606
Podgorica;2970
Pontevedra;3358
Tirana;3194
