site;uv
Bergen;60.2557
Stockholm;59.37007
Benmore;56.02557
Edinburgh;55.96495
Dublin;53.37308
Bedgebury;51.07488
Munich;48.16384
Salzburg;47.78684
Geneva ;46.22534
Ljubljana;46.04039
Podgorica;42.44282
Pontevedra;42.40986
Tirana;41.30964
