site;uv
Bergen;1132
Stockholm;1592
Benmore;992
Edinburgh;980
Dublin;1096
Bedgebury;1250
Munich;1750
Salzburg;1603
Geneva ;1653
Ljubljana;1343
Podgorica;2131
Pontevedra;1650
Tirana;1199
