site;uv
Bergen;987
Stockholm;1434
Benmore;851
Edinburgh;848
Dublin;950
Bedgebury;1093
Munich;1584
Salzburg;1444
Geneva ;1446
Ljubljana;1190
Podgorica;1952
Pontevedra;1446
Tirana;1073
