site;uv
Bergen;1718
Stockholm;2243
Benmore;1702
Edinburgh;1610
Dublin;1928
Bedgebury;2010
Munich;2223
Salzburg;2064
Geneva ;2434
Ljubljana;1850
Podgorica;2521
Pontevedra;2548
Tirana;2083
