site;uv
Bergen;1779
Stockholm;3082
Benmore;1826
Edinburgh;1228
Dublin;2030
Bedgebury;2027
Munich;2344
Salzburg;2085
Geneva ;2400
Ljubljana;1634
Podgorica;2247
Pontevedra;3566
Tirana;1799
